Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-03-25,8.51999999999998,31.569,0.0,0.236317202050594,JAMMU AND KASHMIR,KATHUA
2000-05-04,23.222,42.716,0.0,0.105145251294203,JAMMU AND KASHMIR,KATHUA
2001-01-12,5.78100000000001,21.64,0.0,0.224727275778583,JAMMU AND KASHMIR,KATHUA
2001-06-21,28.451,43.946,0.0,0.186457330370132,JAMMU AND KASHMIR,KATHUA
2002-06-03,23.512,42.903,0.0,0.128449272515763,JAMMU AND KASHMIR,KATHUA
2002-07-15,27.56,45.326,0.0,0.118879438848167,JAMMU AND KASHMIR,KATHUA
2004-04-03,19.34,37.951,0.0,0.143744030893091,JAMMU AND KASHMIR,KATHUA
2004-06-13,28.136,42.913,0.0,0.194643001340585,JAMMU AND KASHMIR,KATHUA
2004-06-28,25.705,42.061,0.0,0.157997732897721,JAMMU AND KASHMIR,KATHUA
2004-10-14,15.115,29.637,0.0,0.316989386602118,JAMMU AND KASHMIR,KATHUA
2005-03-17,18.229,33.527,0.0995636232,0.344740257911664,JAMMU AND KASHMIR,KATHUA
2005-03-23,12.284,26.893,0.1579284936,0.393975182550734,JAMMU AND KASHMIR,KATHUA
2005-03-26,12.889,30.151,0.0,0.374181983818876,JAMMU AND KASHMIR,KATHUA
2005-05-23,22.505,40.834,0.0,0.153285538896185,JAMMU AND KASHMIR,KATHUA
2006-06-02,27.069,44.583,0.0,0.117144729028222,JAMMU AND KASHMIR,KATHUA
2007-01-10,5.66500000000002,20.193,0.0,0.277618894812021,JAMMU AND KASHMIR,KATHUA
2007-11-30,14.149,23.645,1.057434624,0.239022552498924,JAMMU AND KASHMIR,KATHUA
2008-03-08,15.552,31.153,0.0,0.21803222085076,JAMMU AND KASHMIR,KATHUA
2008-07-02,28.152,40.758,0.0,0.388923466901295,JAMMU AND KASHMIR,KATHUA
2008-11-09,13.483,30.199,0.0,0.187416687382201,JAMMU AND KASHMIR,KATHUA
2009-03-15,9.66300000000001,30.322,0.0,0.50232546195817,JAMMU AND KASHMIR,KATHUA
2011-04-07,13.657,30.614,0.0,0.231022067630533,JAMMU AND KASHMIR,KATHUA
2011-04-09,15.768,29.375,0.0,0.252131125108966,JAMMU AND KASHMIR,KATHUA
2011-06-07,27.218,43.215,0.0,0.177548587446029,JAMMU AND KASHMIR,KATHUA
2011-10-16,16.527,31.781,0.0017166132,0.22753278534903,JAMMU AND KASHMIR,KATHUA
2012-01-31,6.637,20.438,0.0,0.330751247890985,JAMMU AND KASHMIR,KATHUA
2012-03-27,17.645,32.035,0.0,0.317279402185059,JAMMU AND KASHMIR,KATHUA
