Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-10-29,16.658,30.229,0.0,0.6616458524312793,KARNATAKA,CHITRADURGA
2000-10-30,15.923,29.043,0.0014713827428571428,0.6016600969407486,KARNATAKA,CHITRADURGA
2000-12-17,12.117,27.404,0.0,0.5091685802129352,KARNATAKA,CHITRADURGA
2001-06-02,22.568,32.659,0.14027180297142858,0.5710908445585484,KARNATAKA,CHITRADURGA
2001-08-09,20.93,25.09,1.4585088630857144,0.8590422715577672,KARNATAKA,CHITRADURGA
2001-10-03,17.898,28.293,0.01177107017142857,0.7810413174830256,KARNATAKA,CHITRADURGA
2002-12-02,14.543,30.25,0.0,0.4808198628527821,KARNATAKA,CHITRADURGA
2003-08-29,20.749,27.455,0.3070286825142857,0.7959524685004914,KARNATAKA,CHITRADURGA
2003-09-15,19.471,29.218,0.39285946388571424,0.7451156692242112,KARNATAKA,CHITRADURGA
2004-01-12,12.993,29.997,0.0,0.48588241251361824,KARNATAKA,CHITRADURGA
2005-02-27,18.693,35.189,0.0,0.2638719718436878,KARNATAKA,CHITRADURGA
2005-03-31,20.493,38.811,0.0,0.33495897324342844,KARNATAKA,CHITRADURGA
2007-02-03,15.878,31.321,0.0,0.38323004434939245,KARNATAKA,CHITRADURGA
2008-08-11,20.829,23.508,3.9762913782857146,0.8950024416132912,KARNATAKA,CHITRADURGA
2008-08-14,20.646,22.918,1.935850109142857,0.9126706977179089,KARNATAKA,CHITRADURGA
2009-03-14,19.747,35.595,0.7587436381714286,0.46840714840869374,KARNATAKA,CHITRADURGA
2009-08-06,20.35,26.638,0.5382810627428573,0.8369810526535593,KARNATAKA,CHITRADURGA
2011-05-17,22.797,39.683,4.811913062742858,0.6385227235876022,KARNATAKA,CHITRADURGA
2011-08-02,21.315,27.138,1.7367224688,0.8032103014344055,KARNATAKA,CHITRADURGA
2013-12-09,11.675,28.617,0.0,0.5714616662239117,KARNATAKA,CHITRADURGA
