Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2001-08-19,26.189,30.7575,11.482644771,0.8819561478322651,WEST BENGAL,BIRBHUM
2002-02-25,19.798499999999997,35.159,0.0077247594,0.352089666055446,WEST BENGAL,BIRBHUM
2002-03-04,19.201,32.7665,0.0287533206,0.3017558363166153,WEST BENGAL,BIRBHUM
2002-06-24,26.213,35.1745,1.1655809693999999,0.7168254385907207,WEST BENGAL,BIRBHUM
2003-01-14,9.878,23.884,0.0,0.30587737125537373,WEST BENGAL,BIRBHUM
2004-02-12,13.6665,30.0535,0.0,0.34164458189704605,WEST BENGAL,BIRBHUM
2004-08-14,24.831,30.795,21.801855447,0.8918924338974772,WEST BENGAL,BIRBHUM
2005-03-29,22.724,38.3665,0.0,0.4077292031180453,WEST BENGAL,BIRBHUM
2005-04-30,26.325,40.7175,1.55568168,0.3200759278126785,WEST BENGAL,BIRBHUM
2006-01-06,10.1695,25.930999999999997,0.0,0.35569659323172304,WEST BENGAL,BIRBHUM
2006-04-26,25.119,44.0805,0.0,0.38233321474846077,WEST BENGAL,BIRBHUM
2006-06-15,30.3945,41.5665,0.0,0.4750826007740315,WEST BENGAL,BIRBHUM
2007-02-01,15.2725,31.203,0.0,0.346263005046546,WEST BENGAL,BIRBHUM
2007-07-02,26.353,34.147999999999996,9.725476068,0.7685088926185517,WEST BENGAL,BIRBHUM
2007-09-28,25.529,30.4865,6.6478007412,0.9029714571544468,WEST BENGAL,BIRBHUM
2007-10-08,22.249,27.9245,4.276945035,0.7918377481835714,WEST BENGAL,BIRBHUM
2009-01-29,13.361,29.125500000000002,0.0,0.39079414701054127,WEST BENGAL,BIRBHUM
2009-06-01,27.838,40.0975,0.11587144140000001,0.5157222398900402,WEST BENGAL,BIRBHUM
2009-06-13,28.7935,42.7575,0.096130413,0.490710119908395,WEST BENGAL,BIRBHUM
2009-09-13,24.4705,34.063,0.31929012900000003,0.770630234374583,WEST BENGAL,BIRBHUM
2011-06-03,29.180999999999997,39.595,0.0,0.4635998498228805,WEST BENGAL,BIRBHUM
2011-11-02,15.73,29.426499999999997,0.0017166132,0.6479235881557475,WEST BENGAL,BIRBHUM
2011-11-29,13.802499999999998,27.509,0.0,0.6211167217673732,WEST BENGAL,BIRBHUM
2013-02-17,16.773,21.070999999999998,24.5707518384,0.8071355825438092,WEST BENGAL,BIRBHUM
2013-07-10,26.4345,31.875500000000002,17.7626609316,0.8638212773232601,WEST BENGAL,BIRBHUM
