Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2001-08-19,25.235,30.251,17.1489732264,0.870363979886945,UTTAR PRADESH,SHAHUJI M NAGAR
2002-02-25,15.836,29.288,0.0,0.319963445068506,UTTAR PRADESH,SHAHUJI M NAGAR
2002-03-04,11.373,29.5,0.0,0.278180203079949,UTTAR PRADESH,SHAHUJI M NAGAR
2002-06-24,30.196,36.768,1.857375576,0.4531888895449,UTTAR PRADESH,SHAHUJI M NAGAR
2003-01-14,0.310000000000002,23.433,0.0,0.521769542887756,UTTAR PRADESH,SHAHUJI M NAGAR
2004-02-12,9.91699999999997,28.147,0.0,0.525339023424556,UTTAR PRADESH,SHAHUJI M NAGAR
2004-08-14,24.915,31.7,3.80487564,0.778336061649188,UTTAR PRADESH,SHAHUJI M NAGAR
2005-03-29,16.094,38.022,0.0,0.205489222694656,UTTAR PRADESH,SHAHUJI M NAGAR
2005-04-30,22.06,40.349,0.0137329056,0.265879878326305,UTTAR PRADESH,SHAHUJI M NAGAR
2006-01-06,2.79500000000002,23.658,0.0,0.484735824384366,UTTAR PRADESH,SHAHUJI M NAGAR
2006-04-26,24.127,44.103,0.0,0.105016937182228,UTTAR PRADESH,SHAHUJI M NAGAR
2006-06-15,30.393,41.997,0.0,0.205145448129494,UTTAR PRADESH,SHAHUJI M NAGAR
2007-02-01,11.53,30.217,0.0,0.488515404153645,UTTAR PRADESH,SHAHUJI M NAGAR
2007-07-02,26.09,37.227,4.9558625856,0.58617087059042,UTTAR PRADESH,SHAHUJI M NAGAR
2007-09-28,24.125,34.596,2.8736111376,0.775129422342919,UTTAR PRADESH,SHAHUJI M NAGAR
2007-10-08,20.23,34.509,0.0,0.308532379850242,UTTAR PRADESH,SHAHUJI M NAGAR
2009-01-29,7.346,28.332,0.0,0.52135844783283,UTTAR PRADESH,SHAHUJI M NAGAR
2009-06-01,24.211,41.588,0.103855104,0.319814786074537,UTTAR PRADESH,SHAHUJI M NAGAR
2009-06-13,31.853,44.723,0.0,0.185250696310362,UTTAR PRADESH,SHAHUJI M NAGAR
2009-09-13,24.045,32.906,2.6916499656,0.724746261610741,UTTAR PRADESH,SHAHUJI M NAGAR
2011-06-03,29.167,42.968,0.532149984,0.230732836563394,UTTAR PRADESH,SHAHUJI M NAGAR
2011-11-02,14.059,32.102,0.0017166132,0.486198910492531,UTTAR PRADESH,SHAHUJI M NAGAR
2011-11-29,8.91500000000002,27.506,0.0,0.599807705044049,UTTAR PRADESH,SHAHUJI M NAGAR
2013-02-17,13.687,22.989,0.4909515264,0.803573577497871,UTTAR PRADESH,SHAHUJI M NAGAR
2013-07-10,26.273,31.1,39.640013136,0.813028365744754,UTTAR PRADESH,SHAHUJI M NAGAR
