Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-02-09,1.9015,26.067,1.06601679,0.565404852592413,UTTAR PRADESH,HAMIRPUR
2001-02-20,11.202,34.283500000000004,0.12187962,0.3614442890425475,UTTAR PRADESH,HAMIRPUR
2001-04-18,19.435,36.3585,2.7165404574,0.4339907895857443,UTTAR PRADESH,HAMIRPUR
2001-11-05,17.148,36.2785,6.62870484,0.41909460021128325,UTTAR PRADESH,HAMIRPUR
2002-04-27,20.4815,43.0715,2.21529006,0.31142314435499524,UTTAR PRADESH,HAMIRPUR
2002-05-02,23.659,47.0015,5.99355666,0.2771192263549235,UTTAR PRADESH,HAMIRPUR
2002-07-25,28.548000000000002,40.0405,0.40426274700000003,0.5402667351405045,UTTAR PRADESH,HAMIRPUR
2003-06-26,27.499000000000002,35.317,16.384226466599998,0.7046959891449525,UTTAR PRADESH,HAMIRPUR
2004-01-06,10.676,20.6655,0.4802227236,0.6359378279018847,UTTAR PRADESH,HAMIRPUR
2004-02-09,8.344999999999999,28.565,0.919676052,0.440698258214259,UTTAR PRADESH,HAMIRPUR
2004-03-29,16.316,40.332499999999996,0.0,0.27281051468273243,UTTAR PRADESH,HAMIRPUR
2004-04-30,25.645,44.063,1.1037827232,0.3252222190812333,UTTAR PRADESH,HAMIRPUR
2004-05-23,28.5365,45.357,11.3313657582,0.3395792802444447,UTTAR PRADESH,HAMIRPUR
2004-07-14,28.1075,38.6005,1.8372054294,0.42562460601566754,UTTAR PRADESH,HAMIRPUR
2005-10-20,21.8185,28.326999999999998,8.3865154932,0.739827412782613,UTTAR PRADESH,HAMIRPUR
2006-01-31,5.751000000000005,32.472,0.1201629312,0.5032388886369585,UTTAR PRADESH,HAMIRPUR
2008-02-02,0.4209999999999925,25.335,0.0,0.4275325811832425,UTTAR PRADESH,HAMIRPUR
2008-02-18,8.097000000000005,31.162,0.0,0.3797654977663465,UTTAR PRADESH,HAMIRPUR
2008-06-04,28.926000000000002,40.2005,8.3702091618,0.45694283452474854,UTTAR PRADESH,HAMIRPUR
2008-08-17,25.475,26.5135,83.606799069,0.9027699617438535,UTTAR PRADESH,HAMIRPUR
2009-12-08,15.277000000000001,24.3455,0.008583066,0.5888940719478212,UTTAR PRADESH,HAMIRPUR
2010-10-07,22.5715,32.616,23.587564485599998,0.6815537660228015,UTTAR PRADESH,HAMIRPUR
2011-09-13,24.991,33.265,22.9039198416,0.802735313235951,UTTAR PRADESH,HAMIRPUR
2011-12-19,3.73399999999998,24.060000000000002,12.7741782132,0.6109132031160353,UTTAR PRADESH,HAMIRPUR
2012-11-05,10.165,29.3435,0.0,0.6070341984746634,UTTAR PRADESH,HAMIRPUR
2012-12-10,7.941999999999981,30.0125,0.200843685,0.5195782738604765,UTTAR PRADESH,HAMIRPUR
