Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-04-23,25.67,43.545,0.0,0.420886805377631,TAMILNADU,NAMAKKAL
2000-06-26,24.227,37.088,0.24547580207999994,0.514667179794715,TAMILNADU,NAMAKKAL
2000-12-29,21.864,27.656,9.422495596800001,0.8647099551609699,TAMILNADU,NAMAKKAL
2001-03-31,24.779,38.292,3.9111329750399997,0.545446320046382,TAMILNADU,NAMAKKAL
2001-08-26,24.081,34.858,1.6498376208,0.6340182502463383,TAMILNADU,NAMAKKAL
2002-10-30,23.298,29.224,17.60764968,0.847495936973405,TAMILNADU,NAMAKKAL
2003-06-13,26.144,37.666,1.6671751344,0.5775932142010752,TAMILNADU,NAMAKKAL
2005-12-29,17.959,27.813,0.12359616479999998,0.7823922760162783,TAMILNADU,NAMAKKAL
2006-01-29,16.97,30.525,0.0,0.6382262148761844,TAMILNADU,NAMAKKAL
2006-10-21,23.23,29.467,19.460563055999998,0.8498528126188422,TAMILNADU,NAMAKKAL
2007-04-16,23.835,38.465,1.8661305599999998,0.513983192890898,TAMILNADU,NAMAKKAL
2007-04-21,23.595,38.717,64.0531841904,0.6070980162865025,TAMILNADU,NAMAKKAL
2008-02-10,22.652,30.42,14.885014536,0.7886037857994366,TAMILNADU,NAMAKKAL
2008-03-10,19.193,36.245,0.0,0.3667656868305258,TAMILNADU,NAMAKKAL
2008-11-26,21.633,26.402,5.77366000416,0.8343415199977624,TAMILNADU,NAMAKKAL
2010-07-28,24.763,34.54,0.9115209432,0.6337979836685312,TAMILNADU,NAMAKKAL
2010-09-28,23.536,30.918,14.691469492800001,0.8135847880064,TAMILNADU,NAMAKKAL
2010-11-18,22.055,27.977,12.195165045600001,0.8894420314219242,TAMILNADU,NAMAKKAL
2010-11-29,19.942,29.224,1.7427065471999998,0.8328190635120162,TAMILNADU,NAMAKKAL
2011-01-06,19.987,30.114,0.0322723368,0.7288564721608848,TAMILNADU,NAMAKKAL
2011-01-16,19.887,30.798,0.03364562304,0.7184671920834182,TAMILNADU,NAMAKKAL
2011-12-11,19.486,30.061,0.70793165736,0.8125339727081148,TAMILNADU,NAMAKKAL
2012-02-24,15.699,35.498,0.0,0.3191907046455486,TAMILNADU,NAMAKKAL
2012-05-08,25.925,42.061,1.26342719496,0.46418854076320376,TAMILNADU,NAMAKKAL
2012-06-23,23.879,37.484,0.004119876,0.5425173529481614,TAMILNADU,NAMAKKAL
2013-06-21,23.871,35.691,1.03889487888,0.593239180714766,TAMILNADU,NAMAKKAL
