Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-12-24,11.753,30.167,0.0,0.17461641502518133,RAJASTHAN,SIROHI
2001-07-15,25.236,28.892,2.6664744264,0.7859163030326947,RAJASTHAN,SIROHI
2001-08-11,24.981,31.294,38.688475079999996,0.8139817014449973,RAJASTHAN,SIROHI
2001-11-26,12.614,28.866,0.0,0.1942863844614883,RAJASTHAN,SIROHI
2002-01-14,14.707,30.833,0.0,0.505783101223484,RAJASTHAN,SIROHI
2003-05-27,26.933,40.689,0.0,0.3235582466071483,RAJASTHAN,SIROHI
2003-10-01,24.02,35.315,0.033187881600000003,0.44652433827543864,RAJASTHAN,SIROHI
2005-02-25,14.041,30.817,0.0,0.16230476744626732,RAJASTHAN,SIROHI
2005-11-01,17.38,33.309,0.0,0.2797483296014423,RAJASTHAN,SIROHI
2006-06-29,26.64,34.074,2.970886584,0.6376088274123562,RAJASTHAN,SIROHI
2006-08-18,23.009,32.292,7.7161753200000005,0.8163273286004014,RAJASTHAN,SIROHI
2007-03-05,16.333,31.298,0.0,0.21969756564461598,RAJASTHAN,SIROHI
2007-07-13,25.407,34.841,5.830193184,0.7481118635516646,RAJASTHAN,SIROHI
2009-02-06,9.77199999999999,28.318,0.0,0.388648434228839,RAJASTHAN,SIROHI
2009-06-19,27.483,40.79,0.0,0.292951135533011,RAJASTHAN,SIROHI
2009-08-30,25.032,29.266,13.705441096800001,0.8535397328310347,RAJASTHAN,SIROHI
2011-12-21,11.089,26.508,0.0,0.30035544612671566,RAJASTHAN,SIROHI
2013-08-13,24.722,25.795,97.72340036399999,0.922543833844196,RAJASTHAN,SIROHI
