Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-04-26,26.999,45.134,0.0,0.260100009045116,UTTAR PRADESH,FAIZABAD
2002-06-27,30.34,37.033,0.1064301264,0.450131470413982,UTTAR PRADESH,FAIZABAD
2004-09-25,22.616,35.899,0.0,0.639403751897711,UTTAR PRADESH,FAIZABAD
2005-07-14,26.378,31.53,14.23416312,0.835175480765419,UTTAR PRADESH,FAIZABAD
2005-12-19,6.577,25.231,0.0,0.416508463659796,UTTAR PRADESH,FAIZABAD
2006-02-27,20.248,36.245,0.0,0.216051640495188,UTTAR PRADESH,FAIZABAD
2006-09-27,23.034,36.272,0.0,0.619897001934865,UTTAR PRADESH,FAIZABAD
2007-07-20,27.94,39.211,0.1424789568,0.588688639941456,UTTAR PRADESH,FAIZABAD
2008-01-12,10.456,24.736,0.0,0.362121022896299,UTTAR PRADESH,FAIZABAD
2009-01-20,13.048,26.607,0.0,0.596439788150984,UTTAR PRADESH,FAIZABAD
2009-03-31,21.241,36.975,0.0,0.207283006027082,UTTAR PRADESH,FAIZABAD
2009-05-21,31.801,44.084,0.0137329128,0.354174471939719,UTTAR PRADESH,FAIZABAD
2010-03-03,17.18,34.988,0.0,0.364033084826942,UTTAR PRADESH,FAIZABAD
2012-05-09,28.213,44.56,0.0,0.223279078396388,UTTAR PRADESH,FAIZABAD
