Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-01-30,10.385,22.938,0.0,0.5815611866625475,ASSAM,KAMRUP
2001-05-13,19.239,33.679,0.0,0.6315009707397067,ASSAM,KAMRUP
2001-07-24,24.828,28.527,17.916295773599998,0.901138993381189,ASSAM,KAMRUP
2002-09-03,23.616,30.399,9.053707776,0.8545815017622388,ASSAM,KAMRUP
2003-07-03,23.947,31.86,5.546379599999999,0.8893404454353021,ASSAM,KAMRUP
2003-11-14,16.457,26.474,0.0,0.7756572630076023,ASSAM,KAMRUP
2004-12-23,12.103,22.922,0.0011444088,0.7638320394472032,ASSAM,KAMRUP
2005-02-03,8.07299999999998,23.303,0.0,0.6963804198515776,ASSAM,KAMRUP
2006-08-21,25.984,37.672,0.0,0.5839288446629567,ASSAM,KAMRUP
2006-11-09,17.076,30.206,0.0,0.692016502891185,ASSAM,KAMRUP
2007-06-13,24.37,34.629,0.21057123840000003,0.6864268760047666,ASSAM,KAMRUP
2007-10-06,23.944,34.537,0.0,0.6544967205602329,ASSAM,KAMRUP
2008-09-15,24.947,34.697,0.02059938,0.6741723590124323,ASSAM,KAMRUP
2008-10-01,21.751,32.558,0.0749588472,0.7573199043753028,ASSAM,KAMRUP
2008-10-06,22.258,28.422,9.899709679199999,0.8926973003085023,ASSAM,KAMRUP
2009-03-08,17.275,31.813,0.0,0.48940982917816034,ASSAM,KAMRUP
2009-07-23,24.348,36.203,2.9085149759999998,0.7761909913865509,ASSAM,KAMRUP
2010-04-26,19.015,22.635,22.395516612000005,0.9502236404232853,ASSAM,KAMRUP
2011-05-12,22.348,34.768,2.9428476396,0.6655475197865842,ASSAM,KAMRUP
2011-07-17,23.574,30.816,19.19116908,0.909302456046805,ASSAM,KAMRUP
2011-08-10,23.084,29.257,23.2372300128,0.9380781947409097,ASSAM,KAMRUP
2011-08-18,22.928,28.584,4.7109597504,0.9356892356894874,ASSAM,KAMRUP
2011-09-19,23.061,33.376,3.6952969764,0.8535124861366713,ASSAM,KAMRUP
2012-04-27,19.297,30.965,9.365273438400001,0.8143152034926789,ASSAM,KAMRUP
2012-09-02,24.393,30.042,12.175365914399999,0.8984693614712996,ASSAM,KAMRUP
