Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-06-24,17.85,34.215,0.0,0.43765319279591,UTTARAKHAND,PITHORGARH
2000-11-01,6.92000000000002,24.105,0.0,0.6529444456930861,UTTARAKHAND,PITHORGARH
2001-03-30,12.817,25.442,0.36420842640000006,0.4675081166029207,UTTARAKHAND,PITHORGARH
2001-09-03,16.324,29.167,0.3444673608,0.6490640144888514,UTTARAKHAND,PITHORGARH
2001-12-02,5.14800000000002,22.531,0.0,0.198442010656628,UTTARAKHAND,PITHORGARH
2004-09-26,15.838,30.001,0.0,0.392286963095688,UTTARAKHAND,PITHORGARH
2005-08-09,17.481,31.189,0.2614974816,0.6652398047549654,UTTARAKHAND,PITHORGARH
2007-06-17,15.168,28.44,8.013151548000002,0.6268997852387803,UTTARAKHAND,PITHORGARH
2007-06-18,17.381,32.126,0.0652313808,0.4787734479984694,UTTARAKHAND,PITHORGARH
2008-06-07,18.341,28.652,1.1878975056,0.7068356874775961,UTTARAKHAND,PITHORGARH
2008-11-24,6.166,22.249,0.0,0.29981284752448273,UTTARAKHAND,PITHORGARH
2008-12-04,4.81999999999999,23.43,0.0,0.2756074833536833,UTTARAKHAND,PITHORGARH
2010-01-01,0.572000000000003,20.221,0.0,0.6448365838165656,UTTARAKHAND,PITHORGARH
2010-03-12,7.59800000000001,26.587,0.0,0.4833387216770937,UTTARAKHAND,PITHORGARH
2010-10-05,15.177,26.294,0.47321346,0.6339314339739547,UTTARAKHAND,PITHORGARH
2010-12-27,2.36000000000001,17.761,0.0,0.5574555106516906,UTTARAKHAND,PITHORGARH
2011-01-05,-1.91899999999998,17.339,0.0,0.27276246645239,UTTARAKHAND,PITHORGARH
2011-07-28,17.192,21.492,13.096042756800001,0.844080293860291,UTTARAKHAND,PITHORGARH
2011-10-17,6.947,23.394,0.0,0.2226343920345347,UTTARAKHAND,PITHORGARH
2012-04-13,7.86000000000001,22.819,0.0034332264,0.20335915885029632,UTTARAKHAND,PITHORGARH
2012-05-13,12.744,31.687,0.0034332288,0.14468116241366732,UTTARAKHAND,PITHORGARH
2012-06-18,17.014,36.792,1.644516852,0.25210759898060636,UTTARAKHAND,PITHORGARH
2013-03-19,4.17599999999999,25.93,0.0,0.23471870854187835,UTTARAKHAND,PITHORGARH
2013-04-14,10.74,18.616,2.3208621648,0.3681377800980193,UTTARAKHAND,PITHORGARH
2013-09-16,11.236,26.655,0.078391956,0.3597738347446617,UTTARAKHAND,PITHORGARH
