Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-06-24,27.401,39.6265,0.0,0.382375930105961,UTTAR PRADESH,LALITPUR
2000-11-01,9.665500000000005,35.537499999999994,0.0,0.3698734574292325,UTTAR PRADESH,LALITPUR
2001-03-30,16.387,35.1225,0.0,0.131730519471637,UTTAR PRADESH,LALITPUR
2001-09-03,23.015,34.8605,0.7561680479999999,0.655422051297508,UTTAR PRADESH,LALITPUR
2001-12-02,6.626999999999985,28.8405,0.0,0.401556960847314,UTTAR PRADESH,LALITPUR
2004-09-26,21.810499999999998,35.2035,1.14755616,0.6317126820541306,UTTAR PRADESH,LALITPUR
2005-08-09,23.027,34.264,0.00686646,0.6883875720612924,UTTAR PRADESH,LALITPUR
2007-06-17,26.908,37.549,0.65231262,0.5294401971090714,UTTAR PRADESH,LALITPUR
2007-06-18,28.188000000000002,35.0205,0.607680558,0.587505332561369,UTTAR PRADESH,LALITPUR
2008-06-07,26.993,39.3995,2.1612173219999997,0.5672846255190145,UTTAR PRADESH,LALITPUR
2008-11-24,9.1125,27.613,0.0,0.42134244648041497,UTTAR PRADESH,LALITPUR
2008-12-04,9.61399999999999,30.193,0.0,0.471908751030632,UTTAR PRADESH,LALITPUR
2010-01-01,6.7355,23.3395,0.0,0.4564701805797085,UTTAR PRADESH,LALITPUR
2010-03-12,17.4025,36.637,0.0,0.24200662234961198,UTTAR PRADESH,LALITPUR
2010-10-05,21.877000000000002,35.907,0.0,0.4233448567533965,UTTAR PRADESH,LALITPUR
2010-12-27,9.544999999999984,27.709,0.0,0.433772895488771,UTTAR PRADESH,LALITPUR
2011-01-05,1.67600000000002,20.299999999999997,0.0,0.5981393093172445,UTTAR PRADESH,LALITPUR
2011-07-28,25.2045,35.006,12.64715352,0.789114189239022,UTTAR PRADESH,LALITPUR
2011-10-17,15.538499999999999,35.762,0.0,0.3723747761418945,UTTAR PRADESH,LALITPUR
2012-04-13,21.576,39.0255,0.0017166132,0.24006525866960848,UTTAR PRADESH,LALITPUR
2012-05-13,28.2855,41.0445,0.0,0.2085359463165155,UTTAR PRADESH,LALITPUR
2012-06-18,29.289499999999997,35.428,2.3337360864,0.496711854681522,UTTAR PRADESH,LALITPUR
2013-03-19,15.561,34.1115,0.0,0.236536097103957,UTTAR PRADESH,LALITPUR
2013-04-14,19.9205,39.4075,0.0,0.1666258541077805,UTTAR PRADESH,LALITPUR
2013-09-16,22.1275,36.575,0.017166132,0.58008867684421,UTTAR PRADESH,LALITPUR
