Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-03-11,11.29,35.662,0.0,0.158193342954534,UTTAR PRADESH,AURAIYA
2000-06-28,31.713,42.356,1.919174724,0.34785911064346,UTTAR PRADESH,AURAIYA
2000-12-16,7.38299999999998,28.589,0.0,0.342840399649665,UTTAR PRADESH,AURAIYA
2001-02-23,10.978,35.453,0.0,0.332187151040853,UTTAR PRADESH,AURAIYA
2001-12-09,10.827,27.733,0.0,0.400371325516628,UTTAR PRADESH,AURAIYA
2002-04-05,19.273,41.846,0.0,0.0895606914984442,UTTAR PRADESH,AURAIYA
2002-11-03,17.448,34.829,0.0,0.240798690929008,UTTAR PRADESH,AURAIYA
2003-02-07,8.77300000000002,28.151,0.0,0.556537199511181,UTTAR PRADESH,AURAIYA
2003-02-12,7.82400000000001,25.712,0.0,0.346199549392025,UTTAR PRADESH,AURAIYA
2003-11-08,14.544,33.726,0.0,0.415756022377308,UTTAR PRADESH,AURAIYA
2004-06-16,27.158,30.797,14.14832256,0.717889078813372,UTTAR PRADESH,AURAIYA
2004-08-18,27.343,36.16,11.81545452,0.670165134822707,UTTAR PRADESH,AURAIYA
2005-11-29,11.41,29.325,0.0,0.444739886392743,UTTAR PRADESH,AURAIYA
2008-06-12,29.21,35.76,49.1294952,0.636781821558995,UTTAR PRADESH,AURAIYA
2008-08-24,24.239,36.14,0.72612756,0.702343546001202,UTTAR PRADESH,AURAIYA
2008-09-25,21.813,31.794,0.0,0.711427725313246,UTTAR PRADESH,AURAIYA
2008-10-03,24.213,33.5,2.92167252,0.742680880587103,UTTAR PRADESH,AURAIYA
2008-10-30,17.623,33.483,0.0,0.435095947874254,UTTAR PRADESH,AURAIYA
2009-02-25,13.977,33.272,0.0,0.34120781857039,UTTAR PRADESH,AURAIYA
2009-03-11,12.775,34.673,0.0,0.176751002104515,UTTAR PRADESH,AURAIYA
2009-09-18,23.855,36.252,0.0,0.60496876661544,UTTAR PRADESH,AURAIYA
2010-05-22,29.715,48.213,0.0,0.0996572249415016,UTTAR PRADESH,AURAIYA
2010-08-06,26.923,36.964,6.0991303464,0.676904510090358,UTTAR PRADESH,AURAIYA
2011-12-15,5.11900000000003,23.185,0.0,0.500834563939049,UTTAR PRADESH,AURAIYA
2012-01-29,9.642,22.015,0.0,0.536829754571435,UTTAR PRADESH,AURAIYA
2012-02-14,11.019,24.506,0.0,0.541655860567049,UTTAR PRADESH,AURAIYA
2012-02-27,10.694,29.984,0.0,0.284635685606421,UTTAR PRADESH,AURAIYA
2012-03-17,15.164,37.164,0.0017166132,0.256658367249653,UTTAR PRADESH,AURAIYA
2012-06-24,31.208,45.283,0.00686646,0.314348504687125,UTTAR PRADESH,AURAIYA
2012-07-13,27.788,30.965,10.1898251784,0.748694065713438,UTTAR PRADESH,AURAIYA
2012-10-27,14.405,29.817,0.0,0.487620263916996,UTTAR PRADESH,AURAIYA
2012-11-29,10.403,28.37,0.0,0.450973162973608,UTTAR PRADESH,AURAIYA
