Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-08-08,29.633,45.245,5.26794516,0.33365010929783334,PUNJAB,FEROZEPORE
2000-08-10,30.592,35.628,2.29133539296,0.4226790255749733,PUNJAB,FEROZEPORE
2000-10-23,16.413,37.745,3.3728029200000003,0.27423907803093295,PUNJAB,FEROZEPORE
2003-05-02,27.047,43.331,0.0,0.2130615846400596,PUNJAB,FEROZEPORE
2003-08-01,27.746,36.362,16.945038326880002,0.675399203177904,PUNJAB,FEROZEPORE
2004-01-11,8.20999999999998,25.923,0.024890899680000002,0.5148229408295031,PUNJAB,FEROZEPORE
2004-09-04,25.134,43.113,0.09887688,0.3131346793002284,PUNJAB,FEROZEPORE
2005-03-22,11.898,28.595,0.1833344136,0.672625281784786,PUNJAB,FEROZEPORE
2006-10-08,21.152,39.886,4.467658176,0.3870608722806407,PUNJAB,FEROZEPORE
2006-11-02,16.523,33.829,7.7178929904,0.469339841159264,PUNJAB,FEROZEPORE
2007-08-07,26.732,41.336,4.45015075248,0.6519159732549182,PUNJAB,FEROZEPORE
2008-05-15,27.638,45.544,7.91358984,0.2626422018953136,PUNJAB,FEROZEPORE
2008-07-07,31.457,40.651,5.7070554336,0.48384405032814176,PUNJAB,FEROZEPORE
2011-04-17,20.187,34.205,3.01506050304,0.637049838355525,PUNJAB,FEROZEPORE
2013-07-06,31.397,43.677,1.4577485284800002,0.4655831275175456,PUNJAB,FEROZEPORE
