Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-12-05,6.26799999999997,27.658,0.0,0.252358551006999,MADHAYA PRADESH,CHINDWARA
2001-03-04,18.171,33.061,0.0,0.227844192559724,MADHAYA PRADESH,CHINDWARA
2002-03-15,17.672,28.706,3.2014839648,0.478833878371651,MADHAYA PRADESH,CHINDWARA
2002-08-30,22.139,25.679,17.375565804,0.9451356170782456,MADHAYA PRADESH,CHINDWARA
2003-09-09,20.528,23.177,0.9120935640000001,0.8859344340250993,MADHAYA PRADESH,CHINDWARA
2003-12-14,11.758,28.31,0.0,0.4228123748907863,MADHAYA PRADESH,CHINDWARA
2004-03-10,15.93,34.575,0.0,0.28418412601396864,MADHAYA PRADESH,CHINDWARA
2004-07-10,22.385,31.524,2.580071112,0.6616093476953187,MADHAYA PRADESH,CHINDWARA
2004-11-02,12.043,30.676,0.0,0.34861202520767237,MADHAYA PRADESH,CHINDWARA
2006-01-05,10.748,26.78,0.0,0.41890549424946366,MADHAYA PRADESH,CHINDWARA
2006-07-01,22.832,31.305,7.5674080752,0.7454266710554084,MADHAYA PRADESH,CHINDWARA
2006-09-14,20.126,30.44,7.472992046400001,0.8337225473613197,MADHAYA PRADESH,CHINDWARA
2008-01-22,11.257,28.341,0.0,0.38324301811307304,MADHAYA PRADESH,CHINDWARA
2008-12-23,15.86,26.83,0.0,0.466765883815768,MADHAYA PRADESH,CHINDWARA
2011-05-31,28.777,39.517,0.0240325968,0.23272233468915268,MADHAYA PRADESH,CHINDWARA
2012-01-04,8.596,25.835,0.0034332264,0.7629960730600994,MADHAYA PRADESH,CHINDWARA
2012-07-03,23.29,27.842,28.371051252,0.8989937358399923,MADHAYA PRADESH,CHINDWARA
2013-08-18,21.988,23.387,29.23164024,0.9570375362039201,MADHAYA PRADESH,CHINDWARA
2013-12-15,7.16300000000001,26.303,0.0017166132,0.4499320097918143,MADHAYA PRADESH,CHINDWARA
2013-12-26,10.221,26.747,0.0,0.5998051414149087,MADHAYA PRADESH,CHINDWARA
