Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-07-14,23.405,35.592,2.77662384,0.745077565251331,ASSAM,TINSUKIA
2000-09-24,18.012,31.865,0.0068664528,0.809696967226161,ASSAM,TINSUKIA
2001-04-24,12.617,35.248,0.0,0.514100382901054,ASSAM,TINSUKIA
2001-09-02,23.031,29.493,14.23759644,0.923837293189966,ASSAM,TINSUKIA
2001-09-23,22.322,31.268,16.0743732984,0.847097262585631,ASSAM,TINSUKIA
2001-10-02,21.472,33.453,5.783273964,0.846748208631897,ASSAM,TINSUKIA
2001-11-20,13.006,26.973,0.336456108,0.754754812448969,ASSAM,TINSUKIA
2003-01-17,5.16399999999999,25.618,0.0,0.601776574802142,ASSAM,TINSUKIA
2003-02-27,8.41199999999998,25.705,0.065231316,0.745561068655553,ASSAM,TINSUKIA
2003-12-02,8.90199999999999,25.863,0.0,0.774877776858391,ASSAM,TINSUKIA
2004-03-16,15.882,34.159,0.0,0.396420982444845,ASSAM,TINSUKIA
2004-04-26,16.306,31.514,0.0,0.740616010987463,ASSAM,TINSUKIA
2004-07-22,23.139,36.948,0.0343322784,0.714133199605665,ASSAM,TINSUKIA
2006-07-19,25.079,35.489,8.199409248,0.80500206042165,ASSAM,TINSUKIA
2006-11-29,6.68200000000002,23.3,0.0,0.688881656491048,ASSAM,TINSUKIA
2007-05-02,15.65,36.34,0.0,0.561457944737359,ASSAM,TINSUKIA
2007-06-22,22.847,26.955,14.220423864,0.950025809583441,ASSAM,TINSUKIA
2008-06-29,23.244,29.901,11.7536544,0.900436708006215,ASSAM,TINSUKIA
2008-07-08,20.755,36.494,0.0,0.696324542243163,ASSAM,TINSUKIA
2008-10-29,17.182,29.558,0.276374844,0.869790526166245,ASSAM,TINSUKIA
2009-11-20,10.616,24.232,0.0,0.837760945368217,ASSAM,TINSUKIA
2009-11-25,11.886,25.871,0.0,0.831002205973247,ASSAM,TINSUKIA
2010-02-06,7.24200000000002,24.803,0.0,0.537704788421763,ASSAM,TINSUKIA
2010-02-25,10.832,26.029,0.0,0.633841747430951,ASSAM,TINSUKIA
2010-03-22,16.227,34.801,0.1579285368,0.464427331780454,ASSAM,TINSUKIA
2011-10-19,17.651,32.875,0.7724767464,0.792151473844926,ASSAM,TINSUKIA
2011-11-30,15.008,29.48,0.0,0.670905024225407,ASSAM,TINSUKIA
2012-06-05,19.653,24.821,11.76395076,0.953404720932937,ASSAM,TINSUKIA
2013-06-22,25.011,33.646,6.051918744,0.87565649322254,ASSAM,TINSUKIA
2013-08-31,23.021,25.881,25.88138424,0.962065618407378,ASSAM,TINSUKIA
