Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-02-18,17.321,27.278,0.0,0.264379696983712,JHARKHAND,JAMTARA
2000-08-09,26.011,31.429,15.915580632,0.833678092821469,JHARKHAND,JAMTARA
2000-11-11,16.182,32.208,0.0,0.44038650719377,JHARKHAND,JAMTARA
2001-02-19,15.599,34.765,0.0,0.280189257712703,JHARKHAND,JAMTARA
2001-07-20,25.513,32.515,15.8512212,0.821757368775164,JHARKHAND,JAMTARA
2001-08-03,26.5,30.938,18.404675316,0.809600886026527,JHARKHAND,JAMTARA
2002-05-11,26.301,46.848,0.0,0.375644161552236,JHARKHAND,JAMTARA
2003-05-25,27.829,43.768,0.0,0.312910710804598,JHARKHAND,JAMTARA
2003-09-16,25.366,31.427,17.25540696,0.863809677461797,JHARKHAND,JAMTARA
2006-06-20,28.71,42.327,0.0,0.392896761642474,JHARKHAND,JAMTARA
2006-11-22,15.891,29.766,0.0,0.445689638125862,JHARKHAND,JAMTARA
2007-10-20,18.941,31.789,0.0,0.583752483904028,JHARKHAND,JAMTARA
2007-12-13,13.274,28.583,0.0,0.457005404766242,JHARKHAND,JAMTARA
2008-08-16,25.969,31.523,4.789355472,0.862492749906561,JHARKHAND,JAMTARA
2008-10-07,23.849,34.106,1.0591506648,0.784290886175115,JHARKHAND,JAMTARA
2009-05-28,27.154,41.84,0.0,0.467603393405845,JHARKHAND,JAMTARA
2009-09-10,25.191,31.684,1.5415184592,0.821838146992175,JHARKHAND,JAMTARA
2010-03-15,18.217,38.25,0.0,0.174061873933265,JHARKHAND,JAMTARA
2010-05-05,29.08,44.87,0.0,0.335833565702724,JHARKHAND,JAMTARA
2011-02-17,16.168,29.066,0.0,0.448411226138091,JHARKHAND,JAMTARA
2011-03-30,21.336,39.619,0.144195516,0.565626030003052,JHARKHAND,JAMTARA
2011-05-24,25.722,43.395,0.0,0.25280572686543,JHARKHAND,JAMTARA
2011-06-06,28.986,41.131,0.9853365024,0.516478195654172,JHARKHAND,JAMTARA
