Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-11-13,13.452,25.299,0.0,0.699281423518104,MEGHALAYA,JAINTIA HILLS
2001-03-20,17.49,31.644,0.0,0.219539229153856,MEGHALAYA,JAINTIA HILLS
2002-03-01,14.548,27.559,0.0,0.377008761366387,MEGHALAYA,JAINTIA HILLS
2002-05-29,18.831,29.257,7.76253132,0.813965732586646,MEGHALAYA,JAINTIA HILLS
2003-01-24,6.87700000000001,21.039,0.0,0.499789365182388,MEGHALAYA,JAINTIA HILLS
2003-03-02,16.818,27.255,0.0,0.56026385526658,MEGHALAYA,JAINTIA HILLS
2003-07-19,22.75,26.238,36.47975724,0.951987467946512,MEGHALAYA,JAINTIA HILLS
2003-08-12,20.811,27.21,10.121156424,0.954972310527532,MEGHALAYA,JAINTIA HILLS
2004-09-15,20.491,28.78,3.3577002,0.812756435933356,MEGHALAYA,JAINTIA HILLS
2005-11-28,11.868,26.261,0.0,0.747847795833955,MEGHALAYA,JAINTIA HILLS
2006-05-18,20.907,34.893,0.0,0.417726765423548,MEGHALAYA,JAINTIA HILLS
2007-07-16,23.491,27.12,19.16770716,0.941153427448086,MEGHALAYA,JAINTIA HILLS
2007-10-07,21.366,29.713,10.629274536,0.86361002798121,MEGHALAYA,JAINTIA HILLS
2008-01-04,13.166,24.078,0.0,0.682769141786228,MEGHALAYA,JAINTIA HILLS
2008-01-21,8.03800000000001,21.766,0.85830732,0.847985167967662,MEGHALAYA,JAINTIA HILLS
2008-04-07,18.829,30.819,0.0,0.474957632586903,MEGHALAYA,JAINTIA HILLS
2008-11-28,9.96699999999998,25.906,0.0,0.677199849595051,MEGHALAYA,JAINTIA HILLS
2009-12-23,13.294,23.326,0.0926970912,0.730891864062611,MEGHALAYA,JAINTIA HILLS
2010-06-18,20.94,26.891,31.8603488184,0.948904764605774,MEGHALAYA,JAINTIA HILLS
2012-01-05,9.483,24.369,0.0,0.676566468527771,MEGHALAYA,JAINTIA HILLS
2012-03-23,12.918,33.37,0.0,0.279868387325141,MEGHALAYA,JAINTIA HILLS
2012-04-14,17.365,31.417,0.02746584,0.667082779687489,MEGHALAYA,JAINTIA HILLS
2012-07-15,23.12,24.345,97.0933896,0.973442317173428,MEGHALAYA,JAINTIA HILLS
2013-04-01,14.482,33.386,0.0463485744,0.558015758948073,MEGHALAYA,JAINTIA HILLS
