Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-12-18,10.086999999999996,27.576999999999998,0.1918316934,0.472521593484457,JHARKHAND,DHANBAD
2002-08-02,26.1435,35.8575,16.318132554600002,0.7886691312270308,JHARKHAND,DHANBAD
2002-11-20,13.854,28.7545,7.13167038,0.5449500301302888,JHARKHAND,DHANBAD
2004-05-07,27.3265,45.2325,7.48829898,0.35803508103614223,JHARKHAND,DHANBAD
2004-07-26,25.1425,33.772000000000006,9.7900640496,0.7695252252855178,JHARKHAND,DHANBAD
2005-02-17,17.806,32.7265,0.0,0.5135140749649783,JHARKHAND,DHANBAD
2006-08-27,25.1235,30.716,16.7640202026,0.8278831761470122,JHARKHAND,DHANBAD
2006-08-31,24.384999999999998,32.1515,1.5599731266,0.7906240556409765,JHARKHAND,DHANBAD
2007-01-14,9.945500000000006,26.9145,3.7113183,0.4128623660899092,JHARKHAND,DHANBAD
2008-06-27,27.153,32.6125,20.777036877,0.786704239143062,JHARKHAND,DHANBAD
2009-05-14,25.8565,40.19,1.408481478,0.5341080290129697,JHARKHAND,DHANBAD
2010-03-29,24.4735,41.984,1.761245595,0.284141068812588,JHARKHAND,DHANBAD
2011-04-23,25.6025,39.582499999999996,10.4816429199,0.40758203193544096,JHARKHAND,DHANBAD
2011-06-17,23.9515,26.939999999999998,62.5855768812,0.868143741987727,JHARKHAND,DHANBAD
2011-08-28,24.389,28.451,24.50938005,0.871067096957696,JHARKHAND,DHANBAD
2012-04-04,21.6555,42.0975,1.022672493,0.4073291146361792,JHARKHAND,DHANBAD
2012-12-06,11.826,28.035,5.62706028,0.44219686440294526,JHARKHAND,DHANBAD
2013-12-11,11.6305,26.3545,0.066089583,0.5659009933845986,JHARKHAND,DHANBAD
