Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-04-22,26.033,45.64,0.0,0.45781836496369105,WEST BENGAL,BANKURA
2001-03-08,15.229,35.978,0.0,0.23126890475689565,WEST BENGAL,BANKURA
2001-06-29,26.852,32.533,36.84797124,0.8678872154004713,WEST BENGAL,BANKURA
2001-07-03,26.399,30.923,28.185660528,0.8671296041833779,WEST BENGAL,BANKURA
2001-07-31,26.523,33.639,13.560670932,0.796835502526497,WEST BENGAL,BANKURA
2001-08-30,25.404,31.072,26.03787792,0.8973092211476047,WEST BENGAL,BANKURA
2002-10-13,23.0,29.589,8.089259616,0.872639644979771,WEST BENGAL,BANKURA
2002-10-25,20.728,31.377,0.0,0.635714366985283,WEST BENGAL,BANKURA
2003-06-22,26.196,31.284,67.07039736,0.863454546397293,WEST BENGAL,BANKURA
2003-08-24,25.412,30.347,1.7240514384,0.8881996678784883,WEST BENGAL,BANKURA
2004-08-31,24.755,33.066,2.793502428,0.7832117836038113,WEST BENGAL,BANKURA
2004-09-29,24.803,31.269,3.2592763080000005,0.8679329315220117,WEST BENGAL,BANKURA
2005-06-08,29.289,43.151,0.0446319552,0.459356343956245,WEST BENGAL,BANKURA
2005-08-15,25.838,31.725,13.189315919999999,0.8395643050442869,WEST BENGAL,BANKURA
2005-08-16,25.256,32.031,11.640933468,0.8439590311595694,WEST BENGAL,BANKURA
2005-11-09,16.697,27.904,0.0,0.730684935289759,WEST BENGAL,BANKURA
2006-01-25,11.008,26.069,0.0,0.2716597326732773,WEST BENGAL,BANKURA
2006-09-05,24.586,28.705,15.00634968,0.9238307931429371,WEST BENGAL,BANKURA
2007-01-12,11.407,27.85,0.0,0.47941866089691865,WEST BENGAL,BANKURA
2007-11-17,16.609,26.704,0.0,0.7921677457095,WEST BENGAL,BANKURA
2008-09-05,25.129,35.386,4.2594908016,0.8175400469569474,WEST BENGAL,BANKURA
2010-12-28,10.315,24.68,0.0,0.482390335229145,WEST BENGAL,BANKURA
2011-05-13,27.388,44.211,0.0,0.42543475345247767,WEST BENGAL,BANKURA
2011-10-22,21.035,28.535,5.3014752744,0.896433544460534,WEST BENGAL,BANKURA
2012-02-05,10.486,29.2,0.0,0.34655169532792335,WEST BENGAL,BANKURA
2012-09-14,25.086,28.272,50.8987392,0.928854600030793,WEST BENGAL,BANKURA
2013-01-31,12.76,27.994,0.0,0.29900446461993563,WEST BENGAL,BANKURA
2013-04-26,23.601,40.988,0.0,0.281779201791113,WEST BENGAL,BANKURA
2013-08-07,25.291,30.765,25.669101744,0.8863435652067159,WEST BENGAL,BANKURA
2013-12-12,12.91,25.956,0.0,0.5633991553740773,WEST BENGAL,BANKURA
