Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-01-24,11.476,32.817,0.0,0.493942294642464,ORISSA,MALKANGIRI
2000-04-19,25.779,43.586,0.0575064,0.417846905852033,ORISSA,MALKANGIRI
2000-08-31,23.118,30.048,8.395957512,0.85344291919784,ORISSA,MALKANGIRI
2001-05-11,19.415,45.123,0.0,0.168603287197753,ORISSA,MALKANGIRI
2001-10-07,23.056,31.728,1.9586555064,0.770329603577485,ORISSA,MALKANGIRI
2002-09-23,21.964,35.958,0.0,0.530382427500279,ORISSA,MALKANGIRI
2003-04-29,21.906,46.107,0.0,0.346799706539615,ORISSA,MALKANGIRI
2004-01-22,13.487,30.39,0.0,0.574823101713512,ORISSA,MALKANGIRI
2006-01-12,12.153,32.02,0.0,0.622260295416137,ORISSA,MALKANGIRI
2006-10-30,21.094,22.457,65.602101132,0.941929755116165,ORISSA,MALKANGIRI
2007-03-18,16.324,42.191,0.0,0.357483148493736,ORISSA,MALKANGIRI
2007-08-16,22.797,30.448,5.6030311224,0.838231567228216,ORISSA,MALKANGIRI
2008-05-13,25.559,47.504,0.0,0.256367070058202,ORISSA,MALKANGIRI
2008-08-03,23.836,29.276,4.6777727664,0.858567149139121,ORISSA,MALKANGIRI
2011-01-08,10.923,29.026,0.0,0.536506954223592,ORISSA,MALKANGIRI
2012-01-27,12.408,30.829,0.0,0.532758088555981,ORISSA,MALKANGIRI
2012-09-23,23.069,25.654,43.107603228,0.953757558874762,ORISSA,MALKANGIRI
2012-11-17,12.21,28.502,0.0,0.517508357911783,ORISSA,MALKANGIRI
2013-07-05,23.335,30.404,0.6145476732,0.799618397119157,ORISSA,MALKANGIRI
