Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-01-22,12.305,32.271,0.0,0.6898130360158187,ORISSA,DHENKANAL
2000-10-21,21.432,35.25,0.0,0.6992025961425217,ORISSA,DHENKANAL
2000-11-18,12.383,31.873,54.911329200000004,0.709514633333892,ORISSA,DHENKANAL
2001-04-08,24.771,42.973,1.49803128,0.43397688455232036,ORISSA,DHENKANAL
2001-10-10,22.913,32.908,14.076230520000001,0.8103239152858652,ORISSA,DHENKANAL
2002-02-16,13.259,33.901,0.0,0.5983252615904561,ORISSA,DHENKANAL
2002-03-08,20.509,33.718,2.0793927,0.6798189144528871,ORISSA,DHENKANAL
2002-08-23,24.996,26.359,16.2969575616,0.8961677718109753,ORISSA,DHENKANAL
2003-02-10,15.511,31.93,0.2059936488,0.6824500727056076,ORISSA,DHENKANAL
2003-07-15,25.07,35.35,16.163637662400003,0.7798173028089154,ORISSA,DHENKANAL
2003-10-26,23.0,29.283,5.012513858399999,0.848018497467462,ORISSA,DHENKANAL
2004-01-13,10.586,28.394,0.27122496,0.6524714874221593,ORISSA,DHENKANAL
2004-04-29,24.373,40.61,0.96759768,0.636917672736952,ORISSA,DHENKANAL
2004-05-22,27.776,47.032,13.704301200000002,0.467338555779488,ORISSA,DHENKANAL
2005-04-01,25.381,39.245,5.4473874888000005,0.6674881370496778,ORISSA,DHENKANAL
2005-04-19,22.227,45.497,2.98462104,0.6189340195211424,ORISSA,DHENKANAL
2006-01-21,13.618,33.03,0.0,0.582374161376966,ORISSA,DHENKANAL
2006-03-01,15.595,41.54,0.22201548000000002,0.5339984853711633,ORISSA,DHENKANAL
2006-04-03,23.712,42.777,0.89778936,0.5513768920384057,ORISSA,DHENKANAL
2007-08-06,25.001,27.302,16.39137708,0.8827231297341527,ORISSA,DHENKANAL
2008-01-27,14.964,24.669,0.69122304,0.7378080036341291,ORISSA,DHENKANAL
2008-02-16,11.61,30.174,0.786209616,0.4654798462407233,ORISSA,DHENKANAL
2008-07-03,26.098,32.993,12.682913843999998,0.7712592580686234,ORISSA,DHENKANAL
2009-09-05,25.521,31.063,33.85620096,0.847413344150822,ORISSA,DHENKANAL
2009-12-03,12.561,28.291,0.9681697800000001,0.7269015852739961,ORISSA,DHENKANAL
2010-12-17,10.323,25.806,1.47857688,0.549758983510556,ORISSA,DHENKANAL
2010-12-30,9.44200000000001,27.612,3.4915916688,0.635565906655602,ORISSA,DHENKANAL
2011-03-08,17.67,37.459,0.0,0.4754196520944227,ORISSA,DHENKANAL
2011-03-14,18.215,38.071,0.31929029280000004,0.6131107109634767,ORISSA,DHENKANAL
2012-06-21,23.532,27.186,33.302314248,0.884608681872058,ORISSA,DHENKANAL
2013-01-02,14.316,32.17,0.0,0.719415902425672,ORISSA,DHENKANAL
2013-11-26,13.184,28.294,0.255203232,0.600959414151775,ORISSA,DHENKANAL
