Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-05-24,23.6005,37.8835,1.1466969480000002,0.690586217000017,ASSAM,KOKRAJHAR
2000-06-18,25.889,35.573,19.329930936,0.7940452883869156,ASSAM,KOKRAJHAR
2001-06-22,26.331000000000003,35.449,2.026461168,0.790279641370352,ASSAM,KOKRAJHAR
2001-09-14,23.817,32.0115,2.7568812816,0.8774592698803375,ASSAM,KOKRAJHAR
2001-10-25,16.9935,32.566,0.0,0.733651941983296,ASSAM,KOKRAJHAR
2002-05-13,24.038,38.533500000000004,0.0,0.6495726318890136,ASSAM,KOKRAJHAR
2002-06-29,26.4755,34.7205,27.3216258,0.874228084998297,ASSAM,KOKRAJHAR
2003-12-11,12.099,26.624000000000002,0.0,0.6858864493972685,ASSAM,KOKRAJHAR
2003-12-12,11.6145,26.950000000000003,0.0,0.761629084078033,ASSAM,KOKRAJHAR
2004-03-15,19.3545,39.6815,0.0,0.36474244549545654,ASSAM,KOKRAJHAR
2005-08-06,25.247,32.1305,1.675415214,0.8338453700445689,ASSAM,KOKRAJHAR
2005-09-16,25.923000000000002,37.4175,0.0,0.5207661013003291,ASSAM,KOKRAJHAR
2006-07-09,24.8095,36.193,1.6144769447999998,0.8269293747299384,ASSAM,KOKRAJHAR
2007-04-22,22.8365,33.131,10.101626892,0.7945831195447826,ASSAM,KOKRAJHAR
2008-02-20,16.1305,29.978,0.0,0.41515210491883947,ASSAM,KOKRAJHAR
2008-10-18,21.6495,34.58,0.0,0.6394337988019749,ASSAM,KOKRAJHAR
2008-10-19,19.907,32.22,0.0,0.6461608291046494,ASSAM,KOKRAJHAR
2009-09-02,25.442500000000003,35.518,0.0,0.7917605945713715,ASSAM,KOKRAJHAR
2011-04-01,18.641,27.366999999999997,5.0949116136,0.7511112582128829,ASSAM,KOKRAJHAR
2011-04-20,21.8955,35.442499999999995,7.14969909,0.5572930331755095,ASSAM,KOKRAJHAR
2011-11-15,15.805499999999999,29.8845,0.0,0.5353938750229139,ASSAM,KOKRAJHAR
2011-12-02,16.8035,29.755000000000003,0.0,0.6340336268491631,ASSAM,KOKRAJHAR
2012-02-02,6.684500000000015,27.185000000000002,0.0,0.408160977227582,ASSAM,KOKRAJHAR
2012-03-13,17.7925,29.5945,0.130462776,0.23535645707173,ASSAM,KOKRAJHAR
2012-09-25,24.307000000000002,31.7025,8.4337284564,0.8967207987176615,ASSAM,KOKRAJHAR
2013-01-21,5.32899999999998,29.1475,0.0,0.24052855591998049,ASSAM,KOKRAJHAR
2013-01-27,6.099500000000004,28.8365,0.0,0.4696155071792635,ASSAM,KOKRAJHAR
2013-01-29,13.2935,29.986,0.11672968319999999,0.391805822125181,ASSAM,KOKRAJHAR
2013-05-22,25.2075,33.076499999999996,20.08266534,0.8598144377362205,ASSAM,KOKRAJHAR
2013-09-27,23.764499999999998,31.4315,5.7077416224,0.8598632527233745,ASSAM,KOKRAJHAR
