Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-07-23,22.966,29.878,66.06302724,0.895292588528464,ARUNACHAL PRADESH,EAST SIANG
2000-11-29,11.191,24.498,0.40512132,0.615378381376977,ARUNACHAL PRADESH,EAST SIANG
2001-02-27,11.94,22.323,5.31120672,0.757437074900206,ARUNACHAL PRADESH,EAST SIANG
2001-06-28,23.29,25.119,89.2261692,0.939647470331066,ARUNACHAL PRADESH,EAST SIANG
2001-07-12,24.161,31.035,35.698692852,0.869309374107539,ARUNACHAL PRADESH,EAST SIANG
2001-07-13,23.105,24.815,99.6648732,0.967853876491971,ARUNACHAL PRADESH,EAST SIANG
2001-08-29,23.655,35.811,10.9743017544,0.7352024540879,ARUNACHAL PRADESH,EAST SIANG
2002-05-26,19.947,28.352,19.98481788,0.856621972839724,ARUNACHAL PRADESH,EAST SIANG
2002-11-14,13.356,22.644,11.0000646,0.922048264289839,ARUNACHAL PRADESH,EAST SIANG
2004-01-09,6.12299999999999,22.678,0.0,0.527250269023716,ARUNACHAL PRADESH,EAST SIANG
2004-07-19,21.993,23.054,90.834597,0.975361012596669,ARUNACHAL PRADESH,EAST SIANG
2004-10-08,18.698,20.109,27.28386144,0.976984328988256,ARUNACHAL PRADESH,EAST SIANG
2004-12-01,10.416,25.005,0.0,0.501394717666965,ARUNACHAL PRADESH,EAST SIANG
2004-12-29,9.11500000000001,22.568,0.0,0.416127401937213,ARUNACHAL PRADESH,EAST SIANG
2005-01-27,9.39699999999999,21.017,4.51297656,0.790489674509859,ARUNACHAL PRADESH,EAST SIANG
2005-09-07,21.814,33.742,0.0,0.630612636021281,ARUNACHAL PRADESH,EAST SIANG
2005-10-16,16.498,30.893,0.0,0.542470408796282,ARUNACHAL PRADESH,EAST SIANG
2006-01-14,11.495,21.217,0.0,0.428626264950519,ARUNACHAL PRADESH,EAST SIANG
2007-02-04,11.712,15.984,4.248615708,0.687611300907388,ARUNACHAL PRADESH,EAST SIANG
2008-02-15,8.125,23.158,0.0,0.465871009011782,ARUNACHAL PRADESH,EAST SIANG
2008-08-23,22.5,31.535,13.0342536,0.878947385068458,ARUNACHAL PRADESH,EAST SIANG
2009-12-17,12.763,18.153,4.895781696,0.85369368338484,ARUNACHAL PRADESH,EAST SIANG
2010-05-27,19.408,29.919,0.769042584,0.831792807114476,ARUNACHAL PRADESH,EAST SIANG
2010-10-04,18.273,33.627,11.4978726,0.811049635082041,ARUNACHAL PRADESH,EAST SIANG
2011-10-03,17.31,26.724,0.616265982,0.744047013472001,ARUNACHAL PRADESH,EAST SIANG
2013-01-03,11.898,13.659,15.94562796,0.948096678725547,ARUNACHAL PRADESH,EAST SIANG
2013-05-13,17.473,19.349,55.30759956,0.977417651008678,ARUNACHAL PRADESH,EAST SIANG
2013-08-15,22.335,33.456,22.84126776,0.831441376464908,ARUNACHAL PRADESH,EAST SIANG
