Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-02-16,16.48,32.289,0.0,0.44301950351678104,MAHARASHTRA,OSMANABAD
2000-04-24,25.047,40.715,0.0,0.17618689500411067,MAHARASHTRA,OSMANABAD
2000-05-25,25.163,35.768,3.1871797944,0.5352480241819156,MAHARASHTRA,OSMANABAD
2000-10-14,21.538,33.291,0.562476,0.6325333933147971,MAHARASHTRA,OSMANABAD
2000-10-15,20.5,34.205,0.0,0.5329342797860482,MAHARASHTRA,OSMANABAD
2001-04-01,19.47,40.158,0.0,0.11064254056793273,MAHARASHTRA,OSMANABAD
2001-07-18,23.481,29.757,1.2828829368,0.6599055541558364,MAHARASHTRA,OSMANABAD
2001-09-30,20.22,33.322,0.0,0.4499333433832214,MAHARASHTRA,OSMANABAD
2002-05-07,27.892,41.1,0.0183105504,0.3791158207649423,MAHARASHTRA,OSMANABAD
2002-05-27,25.569,39.136,0.00228882,0.38086021889414234,MAHARASHTRA,OSMANABAD
2002-06-21,24.058,31.441,24.722677653599998,0.7169110566460043,MAHARASHTRA,OSMANABAD
2003-03-17,19.804,37.173,0.0,0.1809333553720083,MAHARASHTRA,OSMANABAD
2003-03-18,18.888,35.901,0.0,0.20665489209640064,MAHARASHTRA,OSMANABAD
2003-04-15,27.134,40.455,0.0,0.17015018300574636,MAHARASHTRA,OSMANABAD
2003-06-06,25.956,40.593,0.0,0.36948979850103436,MAHARASHTRA,OSMANABAD
2003-12-03,17.794,30.828,0.0,0.34819542838500567,MAHARASHTRA,OSMANABAD
2004-02-10,15.58,32.138,0.0,0.2965247562214687,MAHARASHTRA,OSMANABAD
2004-08-27,21.579,25.979,0.743294364,0.7855616770354104,MAHARASHTRA,OSMANABAD
2006-12-08,15.256,28.821,0.0,0.489018469201101,MAHARASHTRA,OSMANABAD
2007-06-09,26.971,36.937,7.442091011999999,0.5302421423475744,MAHARASHTRA,OSMANABAD
2007-11-29,16.732,30.457,0.0,0.37971296244479474,MAHARASHTRA,OSMANABAD
2009-01-24,17.134,33.12,0.0,0.19542591969134435,MAHARASHTRA,OSMANABAD
2010-07-30,22.091,25.563,8.7718986696,0.8958389327696841,MAHARASHTRA,OSMANABAD
2011-06-30,22.358,31.005,0.06809232,0.644965903652701,MAHARASHTRA,OSMANABAD
2012-12-01,13.469,31.274,0.0,0.355355020338153,MAHARASHTRA,OSMANABAD
2013-02-18,14.782,31.929,0.0,0.18287397348464332,MAHARASHTRA,OSMANABAD
