Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-03-26,16.552,39.66,0.0,0.14549507904395467,WEST BENGAL,COOCH BEHAR
2001-07-22,25.949,33.846,7.397463028800001,0.8170991817177601,WEST BENGAL,COOCH BEHAR
2002-08-14,24.331,27.286,30.036729352799995,0.9273320917516563,WEST BENGAL,COOCH BEHAR
2004-01-10,6.49900000000002,24.877,0.0,0.5070167311115693,WEST BENGAL,COOCH BEHAR
2004-03-24,23.195,36.043,0.1413345768,0.5622102328771907,WEST BENGAL,COOCH BEHAR
2004-07-24,24.22,31.685,2.6241303504,0.87090878809035,WEST BENGAL,COOCH BEHAR
2004-10-30,17.223,28.257,0.02889636,0.7386522603881286,WEST BENGAL,COOCH BEHAR
2006-03-02,15.102,36.211,0.0,0.145835556286563,WEST BENGAL,COOCH BEHAR
2006-04-25,22.739,40.103,0.0,0.3184025794405347,WEST BENGAL,COOCH BEHAR
2006-06-10,24.444,35.011,0.672912552,0.7355240634487834,WEST BENGAL,COOCH BEHAR
2006-09-30,24.135,34.383,3.0263899296,0.8480092515510774,WEST BENGAL,COOCH BEHAR
2007-01-21,9.94999999999999,27.781,0.0,0.4297783482741786,WEST BENGAL,COOCH BEHAR
2008-03-04,18.72,33.11,0.955581744,0.3901376018301983,WEST BENGAL,COOCH BEHAR
2009-03-10,17.583,35.438,0.0,0.30948457451644834,WEST BENGAL,COOCH BEHAR
2009-06-10,25.484,35.017,13.033671844799999,0.7821475875996007,WEST BENGAL,COOCH BEHAR
2010-09-16,24.435,30.219,10.971453936000001,0.8866765339405029,WEST BENGAL,COOCH BEHAR
2011-04-30,23.97,36.174,5.807875626,0.5260849207554547,WEST BENGAL,COOCH BEHAR
2012-07-24,25.709,26.777,98.94790488,0.9587691996931974,WEST BENGAL,COOCH BEHAR
2012-10-12,18.812,30.371,0.13618472639999998,0.7765829197753066,WEST BENGAL,COOCH BEHAR
2012-10-28,14.041,31.658,0.3261565488,0.4472491500879507,WEST BENGAL,COOCH BEHAR
2013-06-16,25.243,32.153,15.875817004799998,0.872600054913574,WEST BENGAL,COOCH BEHAR
