Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-03-28,15.876999999999999,37.228,0.0,0.09957746608887875,MADHAYA PRADESH,MANDLA
2000-05-09,24.1685,42.431,0.0,0.22896220078184598,MADHAYA PRADESH,MANDLA
2001-01-17,14.085,23.1085,0.0051498396,0.5875634299592815,MADHAYA PRADESH,MANDLA
2001-05-15,25.713,42.1355,0.0,0.1741335388957535,MADHAYA PRADESH,MANDLA
2001-09-10,20.375999999999998,33.4955,0.0051498396,0.6141703073466035,MADHAYA PRADESH,MANDLA
2002-02-09,11.939499999999999,28.677,0.098705358,0.519180604413741,MADHAYA PRADESH,MANDLA
2002-07-28,23.155,36.555499999999995,0.011157984,0.5971401834446399,MADHAYA PRADESH,MANDLA
2002-12-22,13.82,31.006,0.0,0.38551074092795845,MADHAYA PRADESH,MANDLA
2003-12-19,8.94200000000001,27.973,0.0,0.5254255131221439,MADHAYA PRADESH,MANDLA
2004-09-24,21.981,30.154,11.723610401999998,0.8883020705904895,MADHAYA PRADESH,MANDLA
2005-03-09,17.4345,33.301,14.031598446,0.5807277277204445,MADHAYA PRADESH,MANDLA
2005-08-11,20.554000000000002,30.2185,0.0205993692,0.800620355938129,MADHAYA PRADESH,MANDLA
2006-01-28,6.042000000000005,27.607,0.0,0.265519036321186,MADHAYA PRADESH,MANDLA
2006-02-26,18.153,36.397999999999996,0.0,0.1769148949514035,MADHAYA PRADESH,MANDLA
2006-08-16,22.3675,29.704,10.3082660388,0.9130074866779214,MADHAYA PRADESH,MANDLA
2006-09-20,21.872999999999998,30.915,4.4511814439999995,0.8621272460528016,MADHAYA PRADESH,MANDLA
2006-10-13,15.439499999999999,35.82599999999999,0.0,0.5337181987790325,MADHAYA PRADESH,MANDLA
2006-12-24,7.50050000000002,28.267,0.0,0.5105440637115934,MADHAYA PRADESH,MANDLA
2007-10-29,13.7685,32.102000000000004,0.0,0.6253680075963131,MADHAYA PRADESH,MANDLA
2007-12-02,12.327,29.0355,0.0,0.4566397410042725,MADHAYA PRADESH,MANDLA
2008-05-03,24.981,41.326,0.0,0.132914898284018,MADHAYA PRADESH,MANDLA
2008-05-27,25.705,41.9525,0.0,0.17769097554796048,MADHAYA PRADESH,MANDLA
2009-02-02,12.775500000000001,30.3675,0.0,0.26273318313875504,MADHAYA PRADESH,MANDLA
2009-02-13,11.963999999999999,29.856,0.0,0.329927225008698,MADHAYA PRADESH,MANDLA
2010-01-30,9.0625,27.315,0.0,0.3883431258141835,MADHAYA PRADESH,MANDLA
2010-02-24,12.818,30.557000000000002,0.0,0.336354632906324,MADHAYA PRADESH,MANDLA
2010-04-28,24.606,44.4585,0.0,0.1498600217338385,MADHAYA PRADESH,MANDLA
2010-05-02,24.3885,41.247,0.0,0.2607765056200345,MADHAYA PRADESH,MANDLA
2010-08-19,24.227,29.6,9.860229702000002,0.917632324198543,MADHAYA PRADESH,MANDLA
2010-11-20,15.52,26.9695,0.0,0.7452924002050321,MADHAYA PRADESH,MANDLA
2011-09-12,22.311,30.8935,1.666832004,0.888540129482709,MADHAYA PRADESH,MANDLA
2011-10-04,15.001999999999999,30.929499999999997,0.0,0.6430050112319721,MADHAYA PRADESH,MANDLA
2013-03-01,14.900500000000001,30.2875,0.0,0.27310646929474447,MADHAYA PRADESH,MANDLA
