Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2001-01-26,7.11699999999999,26.08,1.4393808,0.38430204270188095,HARYANA,FARIDABAD
2001-08-06,27.5225,35.692499999999995,4.915307932199999,0.6632490333655963,HARYANA,FARIDABAD
2001-12-28,6.0190000000000055,22.8515,1.60460469,0.5803909566984713,HARYANA,FARIDABAD
2002-02-12,9.440499999999986,22.683500000000002,2.6294225831999998,0.7431383719083613,HARYANA,FARIDABAD
2002-06-08,30.502499999999998,46.0775,12.13002459,0.3203396345655785,HARYANA,FARIDABAD
2002-07-18,32.587,42.615,0.0283241196,0.438436207163596,HARYANA,FARIDABAD
2003-10-17,19.0195,33.054,0.6085404,0.5171219044828302,HARYANA,FARIDABAD
2004-06-19,26.479,42.588,11.969088111000001,0.6024444607772452,HARYANA,FARIDABAD
2004-06-25,28.694000000000003,43.397499999999994,0.7977963006000001,0.4421551182208535,HARYANA,FARIDABAD
2004-09-22,22.1695,26.9905,2.2311682326,0.7714742776781425,HARYANA,FARIDABAD
2004-11-30,12.8035,27.913,0.0,0.5362804602028113,HARYANA,FARIDABAD
2006-01-02,16.116,21.561999999999998,0.5879408652,0.5696544983823435,HARYANA,FARIDABAD
2006-05-10,27.807000000000002,45.314499999999995,2.4448875857999997,0.310435232218739,HARYANA,FARIDABAD
2006-12-13,7.5504999999999995,23.147,0.266933538,0.5169675468123257,HARYANA,FARIDABAD
2008-06-17,25.7485,29.061500000000002,16.050339963,0.8200111732548877,HARYANA,FARIDABAD
2008-09-16,25.2245,35.408,4.0610770920000006,0.7344643868117022,HARYANA,FARIDABAD
2009-04-06,24.459,38.4705,0.7965085319999999,0.35958996410481875,HARYANA,FARIDABAD
2009-08-31,25.744500000000002,36.941,2.5989536016000003,0.7134008379550629,HARYANA,FARIDABAD
2009-11-29,8.23549999999997,24.1015,0.0,0.4789907309549972,HARYANA,FARIDABAD
2011-11-03,14.878,32.3465,7.305907581,0.48701956698913673,HARYANA,FARIDABAD
2012-03-12,6.971000000000005,30.5985,0.2579212116,0.3430329444096575,HARYANA,FARIDABAD
2013-04-09,22.4705,39.488,0.0,0.29647124748144077,HARYANA,FARIDABAD
2013-06-07,30.194499999999998,45.3815,0.4433157,0.3657292426809822,HARYANA,FARIDABAD
