Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-07-19,22.9,25.531,61.91252673600001,0.902826624198735,CHATISGARH,BILASPUR
2000-11-07,14.358,33.893,0.0,0.34271926867616703,CHATISGARH,BILASPUR
2001-06-13,28.171,34.694,4.890632964,0.5013469034801733,CHATISGARH,BILASPUR
2001-11-17,20.546,31.534,0.0102996792,0.6416798178292046,CHATISGARH,BILASPUR
2002-03-28,19.595,37.349,0.0,0.24684106038210732,CHATISGARH,BILASPUR
2002-05-06,23.01,45.373,0.0,0.125178054976126,CHATISGARH,BILASPUR
2003-04-17,24.048,43.177,0.0,0.1418381417280987,CHATISGARH,BILASPUR
2003-07-07,24.604,32.458,1.8668166552,0.7526066093000746,CHATISGARH,BILASPUR
2003-12-27,13.925,21.54,11.316483876,0.7153992286173166,CHATISGARH,BILASPUR
2004-11-10,17.821,33.97,0.0,0.5095935691714281,CHATISGARH,BILASPUR
2004-11-11,18.205,32.961,2.0905494719999997,0.5427606984591317,CHATISGARH,BILASPUR
2006-10-24,19.337,34.92,0.04577633280000001,0.5163025116383304,CHATISGARH,BILASPUR
2006-11-20,14.421,32.255,0.0,0.37311029034955134,CHATISGARH,BILASPUR
2006-11-21,15.254,32.795,0.0,0.400821505404695,CHATISGARH,BILASPUR
2007-01-17,13.586,30.344,0.0,0.24158301462325302,CHATISGARH,BILASPUR
2007-01-26,9.29500000000002,34.713,0.0,0.32850925862845765,CHATISGARH,BILASPUR
2007-08-08,23.857,26.332,5.838774839999999,0.8961277499272883,CHATISGARH,BILASPUR
2007-11-22,12.559,30.06,0.0,0.3198440889211704,CHATISGARH,BILASPUR
2008-01-15,11.311,29.823,0.0,0.26994005379813063,CHATISGARH,BILASPUR
2009-05-20,31.105,47.881,0.0,0.23497891481121366,CHATISGARH,BILASPUR
2009-06-23,30.679,48.014,0.0,0.231686428109157,CHATISGARH,BILASPUR
2009-07-02,25.693,34.669,11.319921204000002,0.7194702533593134,CHATISGARH,BILASPUR
2010-02-10,17.161,30.124,0.014877311999999998,0.3910988399355153,CHATISGARH,BILASPUR
2010-04-24,21.379,46.731,0.0,0.1048817935808,CHATISGARH,BILASPUR
2010-11-23,15.141,29.061,0.0,0.47424445865500403,CHATISGARH,BILASPUR
2011-02-10,15.002,33.575,0.0,0.30415543676778967,CHATISGARH,BILASPUR
2011-12-13,10.848,28.587,0.0,0.5201430891941093,CHATISGARH,BILASPUR
2012-06-08,29.107,43.224,0.046920732,0.35340636666999936,CHATISGARH,BILASPUR
2012-06-26,26.186,37.614,0.2185822608,0.5787679198674937,CHATISGARH,BILASPUR
2013-02-08,14.729,29.807,0.27923550480000003,0.6154420518652414,CHATISGARH,BILASPUR
2013-05-23,30.764,46.891,0.0,0.10756045912082664,CHATISGARH,BILASPUR
2013-10-30,14.593,30.649,0.0,0.6082584974286394,CHATISGARH,BILASPUR
2013-11-21,12.233,27.786,0.0,0.5110765533253924,CHATISGARH,BILASPUR
