Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-04-17,20.616,42.297,0.0,0.14790289122069966,MADHAYA PRADESH,HOSHANGABAD
2000-05-16,26.936,37.085,0.0,0.396920083205113,MADHAYA PRADESH,HOSHANGABAD
2000-06-20,26.977,37.902,1.2113580648,0.4914965477728743,MADHAYA PRADESH,HOSHANGABAD
2000-07-28,22.432,29.097,0.1616476944,0.7557392027376464,MADHAYA PRADESH,HOSHANGABAD
2002-01-29,7.42599999999999,24.589,0.0,0.27672326671681696,MADHAYA PRADESH,HOSHANGABAD
2002-06-17,29.137,39.623,0.214004532,0.3996576467546577,MADHAYA PRADESH,HOSHANGABAD
2002-07-31,23.785,38.276,0.0,0.49614746570215695,MADHAYA PRADESH,HOSHANGABAD
2003-02-22,14.128,33.839,0.0,0.29596751101369095,MADHAYA PRADESH,HOSHANGABAD
2003-03-10,16.124,36.633,0.0,0.14643630598964133,MADHAYA PRADESH,HOSHANGABAD
2003-04-22,23.722,41.679,0.0,0.144684689434142,MADHAYA PRADESH,HOSHANGABAD
2003-07-22,23.268,29.245,11.87410482,0.8867981434309801,MADHAYA PRADESH,HOSHANGABAD
2004-12-02,12.867,30.005,0.0,0.314108007920462,MADHAYA PRADESH,HOSHANGABAD
2005-06-07,27.244,42.149,0.0,0.20951732725519298,MADHAYA PRADESH,HOSHANGABAD
2006-02-04,12.733,31.723,0.0,0.2540663378516103,MADHAYA PRADESH,HOSHANGABAD
2007-04-08,22.157,40.582,0.0,0.13702892358604,MADHAYA PRADESH,HOSHANGABAD
2007-11-18,11.819,30.128,0.0,0.3268019060296384,MADHAYA PRADESH,HOSHANGABAD
2008-12-16,16.546,33.217,0.0,0.34231888822281303,MADHAYA PRADESH,HOSHANGABAD
2009-09-06,23.054,30.015,8.5430139432,0.8771229338708283,MADHAYA PRADESH,HOSHANGABAD
2010-03-11,20.578,40.53,0.169372584,0.27020442235675934,MADHAYA PRADESH,HOSHANGABAD
2010-04-08,24.619,44.016,0.0,0.09190178053331495,MADHAYA PRADESH,HOSHANGABAD
2011-08-23,22.192,30.402,18.305972664,0.89698267641135,MADHAYA PRADESH,HOSHANGABAD
2011-10-01,19.882,32.687,0.9172439099999999,0.709407958431922,MADHAYA PRADESH,HOSHANGABAD
2011-10-28,12.584,35.599,0.0,0.458920219141457,MADHAYA PRADESH,HOSHANGABAD
2012-03-03,11.525,34.203,0.0,0.261248517395285,MADHAYA PRADESH,HOSHANGABAD
2013-03-16,19.256,35.251,0.5281448184,0.39202031216402294,MADHAYA PRADESH,HOSHANGABAD
2013-04-21,20.655,38.742,0.010299684,0.32757556654283265,MADHAYA PRADESH,HOSHANGABAD
2013-11-08,13.709,30.79,0.0,0.5689827489609464,MADHAYA PRADESH,HOSHANGABAD
2013-12-24,14.042,28.75,0.0,0.5607936555000806,MADHAYA PRADESH,HOSHANGABAD
