Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-02-01,13.207,27.831,0.0,0.3404566110674103,RAJASTHAN,KOTAH
2000-05-18,28.721,42.679,1.9638074639999996,0.4466659324555577,RAJASTHAN,KOTAH
2000-07-12,25.908,30.941,20.40767004,0.744628019094598,RAJASTHAN,KOTAH
2001-01-18,11.45,29.164,0.0,0.2783363325003327,RAJASTHAN,KOTAH
2001-02-06,8.12200000000001,29.194,0.0,0.14868228818233467,RAJASTHAN,KOTAH
2001-02-18,12.647,31.141,0.0,0.239841353246978,RAJASTHAN,KOTAH
2002-04-17,25.23,42.009,0.0,0.14385629391627566,RAJASTHAN,KOTAH
2003-06-03,32.423,46.658,0.0,0.17208193802523966,RAJASTHAN,KOTAH
2003-10-29,14.457,31.209,0.0,0.44991052905400064,RAJASTHAN,KOTAH
2004-09-19,22.009,35.349,0.0,0.5869199529930996,RAJASTHAN,KOTAH
2004-12-04,13.261,28.871,0.0,0.3692517045453297,RAJASTHAN,KOTAH
2005-12-09,8.94200000000001,25.77,0.0,0.26419120365834264,RAJASTHAN,KOTAH
2006-02-24,14.786,36.025,0.0,0.14613552422546366,RAJASTHAN,KOTAH
2006-05-16,29.059,44.139,0.0,0.24651944506590798,RAJASTHAN,KOTAH
2006-11-28,11.345,27.286,0.0,0.28767718513934265,RAJASTHAN,KOTAH
2007-04-10,20.213,40.509,0.0,0.134555473382155,RAJASTHAN,KOTAH
2008-06-19,24.568,28.621,69.50798804879999,0.7675689106466373,RAJASTHAN,KOTAH
2009-04-10,19.135,35.492,0.0,0.24729415878050634,RAJASTHAN,KOTAH
2009-08-05,25.717,34.395,0.022888188000000004,0.626138506788336,RAJASTHAN,KOTAH
2010-10-27,21.582,34.763,0.0,0.3852174418065049,RAJASTHAN,KOTAH
2011-04-05,17.411,35.742,0.0,0.10478041892972234,RAJASTHAN,KOTAH
2012-03-31,18.94,39.937,0.0,0.17334609744460835,RAJASTHAN,KOTAH
2012-07-08,26.425,34.701,9.796139822399999,0.6919070344900433,RAJASTHAN,KOTAH
2013-04-25,23.995,41.779,0.0,0.21746991453814166,RAJASTHAN,KOTAH
2013-05-26,29.171,41.946,0.0,0.261240444107001,RAJASTHAN,KOTAH
2013-06-12,27.582,36.112,0.6606101400000001,0.4803029523671923,RAJASTHAN,KOTAH
