Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-02-01,8.04599999999999,21.004,0.0,0.5018467295313,ARUNACHAL PRADESH,PAPAMPARE
2000-05-18,19.625,24.651,51.42975696,0.934414653022914,ARUNACHAL PRADESH,PAPAMPARE
2000-07-12,20.772,27.642,80.80528356,0.89477344819842,ARUNACHAL PRADESH,PAPAMPARE
2001-01-18,6.71499999999998,22.912,0.0,0.51713877314641,ARUNACHAL PRADESH,PAPAMPARE
2001-02-06,8.43200000000002,23.873,0.0,0.524056883553834,ARUNACHAL PRADESH,PAPAMPARE
2001-02-18,13.931,26.028,0.0171661392,0.437739485289202,ARUNACHAL PRADESH,PAPAMPARE
2002-04-17,17.668,26.442,16.63055856,0.83624192655377,ARUNACHAL PRADESH,PAPAMPARE
2003-06-03,21.324,33.33,16.45202808,0.699987326551265,ARUNACHAL PRADESH,PAPAMPARE
2003-10-29,15.206,26.793,0.0,0.787559467790402,ARUNACHAL PRADESH,PAPAMPARE
2004-09-19,19.885,28.939,7.001208936,0.836328807238895,ARUNACHAL PRADESH,PAPAMPARE
2004-12-04,5.678,23.336,0.0,0.519159635207903,ARUNACHAL PRADESH,PAPAMPARE
2005-12-09,6.71600000000001,22.543,0.0,0.567948444567825,ARUNACHAL PRADESH,PAPAMPARE
2006-02-24,14.946,22.589,7.0411239,0.862225852864417,ARUNACHAL PRADESH,PAPAMPARE
2006-05-16,17.12,31.662,0.0,0.581758202736278,ARUNACHAL PRADESH,PAPAMPARE
2006-11-28,4.99799999999999,20.324,0.0,0.661774758946189,ARUNACHAL PRADESH,PAPAMPARE
2007-04-10,15.526,23.405,7.5960157032,0.837971719881992,ARUNACHAL PRADESH,PAPAMPARE
2008-06-19,21.377,26.523,52.43911092,0.958643523819539,ARUNACHAL PRADESH,PAPAMPARE
2009-04-10,14.925,23.634,12.2394595248,0.841913934483236,ARUNACHAL PRADESH,PAPAMPARE
2009-08-05,23.258,24.598,112.7403,0.97387163882329,ARUNACHAL PRADESH,PAPAMPARE
2010-10-27,16.172,27.292,2.832417432,0.736532299619044,ARUNACHAL PRADESH,PAPAMPARE
2011-04-05,15.845,25.807,5.905156824,0.785785616385815,ARUNACHAL PRADESH,PAPAMPARE
2012-03-31,15.965,33.292,0.0,0.285593511863777,ARUNACHAL PRADESH,PAPAMPARE
2012-07-08,21.447,29.83,13.25397528,0.87013692988714,ARUNACHAL PRADESH,PAPAMPARE
2013-04-25,16.505,26.818,16.75757952,0.851809581561776,ARUNACHAL PRADESH,PAPAMPARE
2013-05-26,21.213,29.781,14.275359,0.825102071289012,ARUNACHAL PRADESH,PAPAMPARE
2013-06-12,20.516,33.129,0.0,0.648492988917466,ARUNACHAL PRADESH,PAPAMPARE
