Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-03-02,18.11,36.5805,0.0,0.239815761326152,RAJASTHAN,BANSWARA
2000-09-29,20.646,39.3815,0.0,0.3050870317167,RAJASTHAN,BANSWARA
2000-10-16,18.91,37.998000000000005,0.0,0.15050036351842327,RAJASTHAN,BANSWARA
2002-05-24,28.401,43.76,0.0,0.29580203851777,RAJASTHAN,BANSWARA
2003-06-10,29.5765,43.0085,0.0,0.33949887341047275,RAJASTHAN,BANSWARA
2004-04-08,23.5395,39.9005,0.0,0.33452983375428075,RAJASTHAN,BANSWARA
2004-09-03,22.8325,32.316,1.9513622484000002,0.783409761825017,RAJASTHAN,BANSWARA
2004-12-19,13.5465,30.155,0.0,0.270948494619468,RAJASTHAN,BANSWARA
2005-01-02,9.452499999999986,26.371499999999997,0.0,0.3883138958156682,RAJASTHAN,BANSWARA
2005-01-12,10.8235,27.407,0.0,0.2714101636412275,RAJASTHAN,BANSWARA
2005-11-27,15.6025,31.8615,0.0,0.3501240772165262,RAJASTHAN,BANSWARA
2006-06-07,26.61,39.7645,0.0,0.4549808205101802,RAJASTHAN,BANSWARA
2006-06-18,27.255000000000003,42.5475,0.0,0.3747062635374885,RAJASTHAN,BANSWARA
2007-07-12,24.326,31.528,0.8604526320000001,0.818693647194126,RAJASTHAN,BANSWARA
2007-10-31,18.035,34.2605,0.0,0.32950502618917854,RAJASTHAN,BANSWARA
2008-08-09,24.4005,28.472,4.1769516312,0.8733471783253963,RAJASTHAN,BANSWARA
2012-04-29,23.174500000000002,41.285,0.0,0.19722077711082897,RAJASTHAN,BANSWARA
2012-08-17,23.122,25.8705,14.2951016952,0.9342676041980145,RAJASTHAN,BANSWARA
2012-08-21,24.304000000000002,26.04,22.134882150000003,0.9448699653654508,RAJASTHAN,BANSWARA
2013-12-10,12.7795,28.362000000000002,0.0,0.301439842176061,RAJASTHAN,BANSWARA
