Date,MinTemperature,MaxTemperature,Precipitation,RelativeHumidity,State,District
2000-12-01,11.452,28.132,1.352692752,0.67756033359949,ORISSA,BOUDH
2001-04-30,25.761,42.763,35.656338,0.483866094654897,ORISSA,BOUDH
2001-12-04,11.318,27.392,2.2602070199999997,0.5712170861492509,ORISSA,BOUDH
2002-05-10,19.671,44.882,6.694795200000001,0.43250958256148336,ORISSA,BOUDH
2003-03-30,22.373,37.156,0.48637382399999995,0.5674606611489,ORISSA,BOUDH
2003-04-18,27.828,41.987,2.354050872,0.4270694242098927,ORISSA,BOUDH
2003-08-21,23.158,29.111,25.419047856000002,0.8629565351792503,ORISSA,BOUDH
2004-01-27,13.765,23.029,0.4634861568,0.827428808117855,ORISSA,BOUDH
2004-07-23,24.0,29.871,6.1895394216,0.7879218378299023,ORISSA,BOUDH
2005-05-13,22.031,42.003,7.48786824,0.42269218166644834,ORISSA,BOUDH
2005-07-27,23.436,28.913,17.936325,0.885934803177697,ORISSA,BOUDH
2005-11-13,12.53,27.309,17.3486664,0.6723074595888914,ORISSA,BOUDH
2008-05-16,23.116,41.83,9.4596864,0.48676656388436634,ORISSA,BOUDH
2010-05-15,28.159,42.635,15.434646,0.529920473728421,ORISSA,BOUDH
2010-09-04,23.808,28.917,13.500593748,0.8807591569042174,ORISSA,BOUDH
2010-09-27,22.766,30.313,9.087750696,0.8045381077127133,ORISSA,BOUDH
2012-11-07,17.382,27.949,7.0512762768,0.8254636411409603,ORISSA,BOUDH
2013-01-13,7.37200000000001,27.714,0.0,0.6038215400719217,ORISSA,BOUDH
2013-06-04,23.575,38.452,0.008583071999999999,0.5652324751037691,ORISSA,BOUDH
2013-07-22,23.139,28.178,20.298397656000002,0.8641299033893718,ORISSA,BOUDH
2013-07-27,22.545,27.138,5.657387256,0.8691817253166264,ORISSA,BOUDH
